[2025-12-23 22:03:08] [INFO    ] discord.client: logging in using static token
[2025-12-23 22:03:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Aegis', 'primary_guild': None, 'mfa_enabled': False, 'id': '1452583324869726308', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4497', 'clan': None, 'bot': True, 'avatar': '4e9ba5741cd04575de70d75a04b00e42'}, 'session_type': 'normal', 'session_id': '1c5924189187085c90772660c09e30c1', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1452586708791984251'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['rotterdam', 'london', 'frankfurt', 'paris', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1452583324869726308', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-cs86",{"micros":260829,"calls":["id_created",{"micros":1630,"calls":[]},"session_lookup_time",{"micros":294,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-9",{"micros":258475,"calls":["start_session",{"micros":244857,"calls":["discord-api-rpc-685f5fd59d-8xv9g",{"micros":167869,"calls":["get_user",{"micros":36120},"get_guilds",{"micros":5570},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":172},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1407},"apex_experiments",{"micros":66335},"user_activities",{"micros":6},"played_application_ids",{"micros":3},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":683,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12817,"calls":[]},"connect_finished",{"micros":12826,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-12-23 22:03:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:03:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1c5924189187085c90772660c09e30c1).
[2025-12-23 22:03:10] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-23 22:03:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'lazy': True, 'preferred_locale': 'en-US', 'features': [], 'region': 'deprecated', 'moderator_reporting': None, 'joined_at': '2025-12-22T09:03:17.377000+00:00', 'profile': None, 'stickers': [], 'public_updates_channel_id': None, 'rules_channel_id': None, 'nsfw': False, 'latest_onboarding_question_id': None, 'max_video_channel_users': 25, 'guild_scheduled_events': [], 'system_channel_id': '1452586709563740182', 'id': '1452586708791984251', 'premium_subscription_count': 0, 'name': "MementoMori's server", 'emojis': [], 'roles': [{'version': 1766394059311, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1452586708791984251', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1766394197197, 'unicode_emoji': None, 'tags': {'bot_id': '1452583324869726308'}, 'position': 1, 'permissions': '8', 'name': 'Aegis', 'mentionable': False, 'managed': True, 'id': '1452587287777906738', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_progress_bar_enabled': False, 'incidents_data': None, 'afk_channel_id': None, 'unavailable': False, 'presences': [], 'soundboard_sounds': [], 'threads': [], 'system_channel_flags': 0, 'splash': None, 'home_header': None, 'max_members': 25000000, 'explicit_content_filter': 0, 'description': None, 'members': [{'user': {'username': 'Aegis', 'public_flags': 0, 'primary_guild': None, 'id': '1452583324869726308', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4497', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '4e9ba5741cd04575de70d75a04b00e42'}, 'roles': ['1452587287777906738'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-22T09:03:17.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'hub_type': None, 'application_command_counts': {}, 'stage_instances': [], 'owner_id': '751069090709504020', 'premium_tier': 0, 'mfa_level': 0, 'discovery_splash': None, 'embedded_activities': [], 'verification_level': 0, 'application_id': None, 'safety_alerts_channel_id': None, 'member_count': 2, 'vanity_url_code': None, 'premium_features': None, 'default_message_notifications': 0, 'afk_timeout': 300, 'owner_configured_content_level': 0, 'channels': [{'version': 1766394059319, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1452586709563740180', 'flags': 0}, {'version': 1766394059323, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1452586709563740181', 'flags': 0}, {'version': 1766394059333, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1452586709563740180', 'name': 'general', 'last_message_id': '1453145688677552311', 'id': '1452586709563740182', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1766394059347, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1452586709563740181', 'name': 'General', 'last_message_id': None, 'id': '1452586709563740183', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'nsfw_level': 0, 'icon': None, 'version': 1766394083056, 'max_stage_video_channel_users': 50, 'activity_instances': [], 'large': False, 'inventory_settings': None, 'voice_states': [], 'banner': None}}
[2025-12-23 22:03:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:03:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'a35f6f0b70504ad0c779e68981d1f6c9', 'members': [{'user': {'username': 'miyamoto4635', 'public_flags': 64, 'primary_guild': None, 'id': '751069090709504020', 'global_name': 'MementoMori', 'display_name_styles': None, 'display_name': 'MementoMori', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1271174640026255380', 'expires_at': None, 'asset': 'a_13913a00bd9990ab4102a3bf069f0f3f'}, 'avatar': '618761834dc65b52da53aab28369048a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-22T09:00:59.223000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Aegis', 'public_flags': 0, 'primary_guild': None, 'id': '1452583324869726308', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4497', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '4e9ba5741cd04575de70d75a04b00e42'}, 'roles': ['1452587287777906738'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-22T09:03:17.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1452586708791984251', 'chunk_index': 0, 'chunk_count': 1}}
[2025-12-23 22:03:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:03:10] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1452586708791984251.
[2025-12-23 22:03:12] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-23 22:03:12] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-23 22:03:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_ADD', 's': 4, 'op': 0, 'd': {'user': {'username': 'qyrosene', 'public_flags': 0, 'primary_guild': {'tag': 'Krow', 'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'id': '1393162364383137825', 'global_name': 'Krowbar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Krow', 'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'avatar_decoration_data': None, 'avatar': 'cc91c838630ee05c1a3a562c8c1b711e'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-23T22:03:44.576676+00:00', 'guild_id': '1452586708791984251', 'flags': 1, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2025-12-23 22:03:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:03:44] [DEBUG   ] discord.client: Dispatching event member_join
[2025-12-23 22:03:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":1393162364383137825} has returned 200
[2025-12-23 22:03:45] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-12-23 22:03:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1453146085055926348', 'type': 1, 'last_message_id': None, 'flags': 0, 'recipients': [{'id': '1393162364383137825', 'username': 'qyrosene', 'avatar': 'cc91c838630ee05c1a3a562c8c1b711e', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'Krowbar', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'tag': 'Krow', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'primary_guild': {'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'tag': 'Krow', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}}]}
[2025-12-23 22:03:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-23T22:03:45.612000+00:00', 'pinned': False, 'nonce': '13098059921465402991', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1453146088352780369', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Wellcome to the server qyrosene', 'components': [], 'channel_type': 1, 'channel_id': '1453146085055926348', 'author': {'username': 'Aegis', 'public_flags': 0, 'primary_guild': None, 'id': '1452583324869726308', 'global_name': None, 'display_name_styles': None, 'discriminator': '4497', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '4e9ba5741cd04575de70d75a04b00e42'}, 'attachments': []}}
[2025-12-23 22:03:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:03:45] [DEBUG   ] discord.client: Dispatching event message
[2025-12-23 22:03:46] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1453146085055926348/messages with {"content":"Wellcome to the server qyrosene","components":[],"nonce":"13098059921465402991","enforce_nonce":true,"tts":false} has returned 200
[2025-12-23 22:03:46] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-23 22:03:46] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1453146085055926348/messages has received {'type': 0, 'content': 'Wellcome to the server qyrosene', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-23T22:03:45.612000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1453146088352780369', 'channel_id': '1453146085055926348', 'author': {'id': '1452583324869726308', 'username': 'Aegis', 'avatar': '4e9ba5741cd04575de70d75a04b00e42', 'discriminator': '4497', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13098059921465402991'}
[2025-12-23 22:03:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-12-23 22:03:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-12-23 22:04:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1393162364383137825', 'timestamp': 1766527448, 'channel_id': '1453146085055926348'}}
[2025-12-23 22:04:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:04:08] [DEBUG   ] discord.client: Dispatching event typing
[2025-12-23 22:04:08] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-12-23 22:04:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-23T22:04:08.320000+00:00', 'pinned': False, 'nonce': '1453146174901977088', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1453146183596773477', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Marry me', 'components': [], 'channel_type': 1, 'channel_id': '1453146085055926348', 'author': {'username': 'qyrosene', 'public_flags': 0, 'primary_guild': {'tag': 'Krow', 'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'id': '1393162364383137825', 'global_name': 'Krowbar', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'Krow', 'identity_guild_id': '1437028780513165375', 'identity_enabled': True, 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'avatar_decoration_data': None, 'avatar': 'cc91c838630ee05c1a3a562c8c1b711e'}, 'attachments': []}}
[2025-12-23 22:04:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-23 22:04:08] [DEBUG   ] discord.client: Dispatching event message
[2025-12-23 22:04:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-12-23 22:04:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
